Quantity,UnitPrice,Country
200,1.65,Netherlands
144,0.36,Netherlands
144,0.36,Netherlands
240,0.42,Netherlands
144,1.85,Netherlands
144,1.85,Netherlands
144,1.06,Netherlands
144,1.65,Netherlands
144,1.06,Netherlands
144,1.06,Netherlands
144,1.25,Netherlands
240,0.42,Netherlands
200,1.65,Netherlands
120,0.42,Netherlands
144,1.65,Netherlands
120,1.85,Netherlands
144,1.25,Netherlands
144,1.25,Netherlands
144,0.65,France
160,1.45,France
120,0.29,France
200,1.79,France
200,1.79,France
108,0.65,France
120,0.85,France
144,1.85,EIRE
144,1.85,EIRE
144,1.85,EIRE
144,1.45,EIRE
144,1.85,EIRE
200,1.65,Netherlands
120,1.25,Japan
240,1.04,Iceland
576,0.21,Japan
576,0.55,Japan
480,0.36,Japan
480,0.36,Japan
480,0.36,Japan
480,0.36,Japan
576,0.36,Japan
576,0.36,Japan
576,0.36,Japan
576,0.36,Japan
288,1.45,Japan
576,0.36,Japan
192,0.72,Germany
288,0.36,Germany
504,1.06,Canada
144,0.36,EIRE
240,0.42,EIRE
240,0.42,EIRE
144,1.45,EIRE
144,1.85,EIRE
144,2.55,EIRE
120,0.72,France
120,0.72,France
120,0.72,France
120,1.79,France
120,1.69,France
120,0.83,Germany
288,0.36,Netherlands
144,2.55,Netherlands
256,1.65,Netherlands
480,0.42,Netherlands
192,0.39,Netherlands
216,0.19,Netherlands
288,0.72,Netherlands
200,1.45,Netherlands
144,0.72,Netherlands
200,0.72,Netherlands
288,1.06,Netherlands
216,1.45,Netherlands
240,2.55,Netherlands
120,0.42,Netherlands
120,2.1,Netherlands
144,0.72,Netherlands
1200,0.42,Netherlands
288,0.72,Netherlands
216,0.36,Netherlands
160,1.45,Netherlands
144,0.36,Netherlands
288,1.06,Netherlands
120,1.45,Netherlands
432,0.36,Netherlands
144,0.64,Netherlands
144,0.79,Netherlands
216,1.45,Netherlands
192,1.45,Netherlands
144,0.39,Netherlands
200,1.45,Netherlands
192,1.45,Netherlands
320,1.65,Netherlands
144,1.06,Netherlands
120,0.42,Netherlands
240,0.55,Sweden
144,1.45,Sweden
288,1.25,Sweden
576,0.29,Sweden
120,2.08,Sweden
120,2.08,Sweden
432,0.42,Sweden
576,0.65,Sweden
144,1.95,Sweden
600,0.65,Germany
144,0.55,EIRE
200,0.34,EIRE
200,0.34,EIRE
144,2.55,Australia
288,1.95,Australia
144,3.39,Australia
144,1.95,Australia
144,1.95,Australia
144,1.95,Australia
108,1.25,Australia
240,0.19,Australia
144,1.06,Australia
240,0.39,Australia
144,1.65,Australia
144,1.65,Australia
192,1.65,Australia
144,1.25,Australia
144,1.06,Australia
576,0.53,Australia
576,0.53,Australia
576,0.53,Australia
600,0.72,Australia
144,1.25,Australia
144,1.45,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
144,1.45,Australia
144,1.06,Australia
320,1.25,Australia
144,3.39,Australia
144,1.45,Netherlands
216,0.36,Australia
960,1.45,Netherlands
144,1.45,Netherlands
108,1.06,Netherlands
120,0.42,Netherlands
160,1.45,Netherlands
144,1.85,Netherlands
300,0.72,Netherlands
240,2.08,Netherlands
250,2.55,Netherlands
180,2.1,Netherlands
128,3.75,Netherlands
200,0.72,Netherlands
200,1.45,Netherlands
200,1.45,Netherlands
144,1.65,Netherlands
144,0.36,France
144,1.45,Netherlands
200,0.72,Netherlands
200,1.79,Netherlands
192,1.65,Netherlands
240,2.55,Netherlands
320,1.65,Netherlands
320,1.65,Netherlands
200,1.79,France
144,1.65,France
120,0.64,EIRE
192,0.36,EIRE
144,1.06,EIRE
192,0.72,EIRE
108,0.65,Belgium
120,0.42,Switzerland
120,0.42,Switzerland
120,0.42,Switzerland
360,0.19,France
216,0.19,France
120,0.65,France
144,1.45,Australia
144,1.45,Australia
192,3.75,Australia
240,4.15,Australia
144,1.25,Australia
240,0.42,Australia
120,0.42,Australia
120,0.42,Australia
144,2.49,Australia
144,1.85,Australia
144,1.85,Australia
240,4.15,Australia
240,0.42,Australia
144,1.25,Australia
120,1.85,Australia
120,1.85,Australia
240,1.79,Australia
120,1.25,Australia
240,0.29,Australia
120,1.65,Australia
144,0.72,Australia
144,3.75,Australia
120,0.42,Australia
120,0.65,Australia
144,0.42,Australia
288,0.42,Australia
576,0.55,Australia
128,1.06,Australia
144,0.36,Australia
128,1.65,Australia
192,1.25,Australia
288,1.06,Australia
240,0.42,Australia
200,0.34,Australia
128,1.65,Australia
144,0.36,Australia
200,0.34,Australia
400,0.34,Australia
200,0.34,Australia
400,0.34,Australia
120,0.42,Australia
200,0.34,Australia
120,0.42,Australia
240,0.36,Australia
240,0.36,Australia
240,1.06,Australia
144,3.39,Australia
144,0.63,Australia
192,3.39,Australia
120,0.42,EIRE
120,0.42,EIRE
240,1.45,EIRE
120,0.42,EIRE
240,1.85,EIRE
144,0.65,EIRE
128,1.06,EIRE
144,1.85,EIRE
144,1.85,EIRE
150,0.55,EIRE
120,0.42,EIRE
144,1.45,EIRE
144,1.45,EIRE
300,0.83,Germany
160,1.45,France
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
192,2.55,Netherlands
288,1.06,Netherlands
144,1.45,Netherlands
144,0.36,Netherlands
200,1.06,Netherlands
288,0.21,Canada
288,0.21,Germany
240,0.06,France
288,1.79,Japan
576,0.72,Japan
432,0.36,Japan
576,0.36,Japan
288,0.85,Japan
108,0.65,France
200,1.79,Netherlands
200,1.79,Netherlands
200,1.79,Netherlands
288,1.06,Netherlands
288,0.72,Netherlands
240,0.42,Netherlands
120,0.42,Netherlands
144,0.72,Netherlands
288,0.72,Netherlands
144,1.05,Netherlands
144,0.53,Netherlands
144,0.72,Netherlands
288,0.36,Netherlands
144,0.72,Netherlands
300,0.72,Netherlands
300,0.72,Netherlands
200,0.72,Netherlands
300,0.72,Netherlands
120,0.42,Netherlands
192,1.45,Netherlands
240,0.42,Netherlands
192,0.72,Netherlands
144,0.55,Netherlands
144,1.06,Netherlands
144,1.05,Netherlands
144,1.45,Netherlands
200,1.45,Netherlands
300,1.45,Netherlands
144,1.25,Netherlands
120,0.42,Netherlands
144,0.72,Netherlands
144,0.79,Netherlands
144,0.64,Netherlands
144,2.55,Netherlands
128,1.65,Netherlands
128,1.65,Netherlands
120,0.42,Netherlands
120,0.42,EIRE
108,1.06,EIRE
144,1.49,EIRE
144,0.32,EIRE
144,1.85,EIRE
144,0.65,EIRE
144,1.06,Australia
360,3.75,Spain
360,3.75,Spain
480,0.55,Sweden
480,0.55,Sweden
144,1.45,Sweden
288,0.85,Sweden
288,0.42,Sweden
288,0.42,Sweden
180,0.42,Sweden
576,0.29,Sweden
120,1.79,France
288,0.36,Australia
200,0.34,Australia
144,0.53,Australia
288,0.36,Australia
144,0.72,Australia
200,0.34,Australia
200,0.34,Australia
200,0.34,Australia
200,0.34,Australia
200,0.34,Australia
384,0.72,Australia
384,0.72,Australia
384,0.72,Australia
384,1.04,Australia
240,1.45,Australia
128,0.72,Germany
128,0.72,Germany
128,1.04,Germany
128,0.72,Germany
108,0.08,EIRE
216,0.65,EIRE
200,0.34,EIRE
200,0.34,EIRE
200,0.34,EIRE
144,1.45,EIRE
200,2.75,EIRE
200,1.06,EIRE
200,4.15,EIRE
192,1.45,EIRE
192,1.45,EIRE
192,1.45,EIRE
192,1.06,EIRE
192,1.06,EIRE
144,0.72,EIRE
144,2.55,EIRE
128,0.72,EIRE
128,0.72,EIRE
240,1.45,EIRE
120,1.04,EIRE
240,0.42,EIRE
192,0.72,EIRE
288,1.25,EIRE
144,0.72,EIRE
200,2.55,EIRE
240,1.85,EIRE
120,2.55,EIRE
272,0.32,Belgium
128,0.72,Spain
144,1.45,Spain
128,0.72,Spain
128,1.04,Spain
128,0.72,Spain
288,1.25,EIRE
408,2.55,EIRE
320,2.95,EIRE
360,0.55,EIRE
156,4.95,EIRE
216,10.95,EIRE
288,1.25,EIRE
288,1.04,EIRE
408,2.95,EIRE
204,4.25,EIRE
288,1.45,EIRE
240,2.95,EIRE
288,1.45,EIRE
288,2.55,EIRE
288,2.55,EIRE
216,1.65,EIRE
432,0.42,EIRE
240,4.15,EIRE
240,0.55,Sweden
144,1.45,Sweden
180,0.42,Sweden
144,0.85,Sweden
240,1.65,Sweden
128,1.25,Sweden
128,0.83,Sweden
128,0.83,Sweden
240,0.55,Sweden
288,0.21,Switzerland
144,1.06,France
120,0.42,France
120,0.42,France
168,2.55,France
240,0.39,Sweden
720,0.72,Sweden
144,0.72,EIRE
200,2.55,EIRE
192,0.72,EIRE
120,2.55,EIRE
240,1.85,EIRE
240,0.42,EIRE
288,1.25,EIRE
240,2.55,Netherlands
128,1.65,Netherlands
128,1.65,Netherlands
144,1.45,Netherlands
144,0.36,Netherlands
256,0.72,Netherlands
256,0.72,Netherlands
256,0.72,Netherlands
128,1.04,Netherlands
240,1.45,Netherlands
240,3.75,Netherlands
120,0.42,Netherlands
200,0.72,Netherlands
200,0.72,Netherlands
200,0.72,Netherlands
300,1.79,Netherlands
200,1.79,Netherlands
200,1.79,Netherlands
400,1.79,Netherlands
200,1.79,Netherlands
120,0.42,Netherlands
144,1.06,EIRE
144,1.06,EIRE
144,1.06,EIRE
144,0.72,EIRE
240,0.0,EIRE
108,1.06,Netherlands
384,1.25,Netherlands
192,1.25,Netherlands
200,1.08,Netherlands
240,0.42,Netherlands
288,1.45,Netherlands
144,0.65,Netherlands
120,0.42,Netherlands
144,1.45,Netherlands
120,1.85,Netherlands
144,1.65,Netherlands
240,2.55,Netherlands
240,0.42,Netherlands
288,0.72,Netherlands
320,1.65,Netherlands
320,1.65,Netherlands
200,0.72,Netherlands
200,1.45,Netherlands
240,0.42,Netherlands
144,1.85,Netherlands
200,1.79,Netherlands
192,0.72,Netherlands
128,3.75,Netherlands
216,1.06,Netherlands
144,0.79,Netherlands
192,1.65,Netherlands
200,0.72,Netherlands
200,1.45,Netherlands
192,1.05,Netherlands
192,1.05,Netherlands
200,1.08,Netherlands
128,0.72,Netherlands
128,0.72,Netherlands
240,1.45,Netherlands
192,1.04,Netherlands
120,1.45,Netherlands
200,0.72,Netherlands
144,1.06,Netherlands
288,1.06,Netherlands
288,1.06,Netherlands
144,1.06,Netherlands
288,0.55,Netherlands
288,0.55,Netherlands
144,0.72,Netherlands
256,2.55,Netherlands
288,0.55,Netherlands
144,0.72,Netherlands
144,0.72,Netherlands
144,0.72,Netherlands
240,0.19,Netherlands
128,1.06,Netherlands
200,0.65,Netherlands
144,1.65,Netherlands
144,0.55,Netherlands
144,0.36,Netherlands
200,1.08,Netherlands
200,1.08,Netherlands
192,0.55,Netherlands
288,1.45,Australia
128,0.72,Germany
128,0.72,Germany
200,0.34,Australia
240,1.45,Australia
200,1.79,Australia
200,1.08,Australia
144,1.65,Australia
200,1.08,Australia
216,0.72,Australia
336,3.75,Australia
240,3.39,Australia
192,0.55,Australia
120,1.04,Australia
576,0.55,Australia
200,1.45,Australia
200,1.45,Australia
144,1.85,Australia
256,1.65,Australia
256,1.65,Australia
128,1.06,Australia
144,1.45,Australia
432,1.45,Australia
240,0.36,Australia
240,1.06,Australia
240,1.06,Australia
160,3.39,Australia
216,1.95,Australia
216,2.25,Australia
216,1.95,Australia
200,0.34,Australia
200,0.34,Australia
120,1.45,Australia
120,1.45,Australia
120,1.45,Australia
120,1.45,Australia
288,1.25,Australia
288,0.72,Australia
240,0.42,Australia
216,2.49,Australia
200,1.79,Channel Islands
200,1.79,Channel Islands
200,1.79,Channel Islands
200,1.79,Channel Islands
144,2.1,Netherlands
144,0.85,Netherlands
108,0.08,Germany
200,0.72,Netherlands
144,0.65,Netherlands
120,0.42,Netherlands
240,0.42,Netherlands
120,0.42,Netherlands
200,0.72,Netherlands
448,1.65,Netherlands
448,1.65,Netherlands
192,0.72,Netherlands
192,0.72,Netherlands
144,1.05,Netherlands
144,1.05,Netherlands
120,0.42,Netherlands
288,0.72,Netherlands
192,1.25,Netherlands
192,0.0,Netherlands
144,0.0,Netherlands
144,0.0,Netherlands
480,2.08,Netherlands
288,1.79,France
120,1.79,France
240,3.39,Australia
720,1.06,Australia
1152,0.55,Australia
200,0.72,Australia
200,1.04,Australia
144,1.45,Australia
360,0.42,EIRE
120,2.55,EIRE
192,0.72,EIRE
144,1.45,EIRE
240,1.06,EIRE
144,3.75,EIRE
144,0.72,EIRE
432,1.25,EIRE
120,0.64,EIRE
960,0.42,EIRE
128,0.72,EIRE
128,0.72,EIRE
108,1.06,EIRE
128,1.06,EIRE
144,1.45,EIRE
144,0.32,EIRE
120,0.42,EIRE
192,1.45,EIRE
144,0.72,EIRE
120,0.42,EIRE
200,0.55,EIRE
240,0.42,EIRE
192,1.85,EIRE
144,0.65,EIRE
192,1.45,EIRE
192,1.85,EIRE
120,0.42,Norway
120,0.42,Norway
120,0.42,Norway
120,0.42,Norway
200,0.82,Sweden
576,0.65,Sweden
480,1.65,Sweden
128,0.83,Sweden
240,0.55,Sweden
240,0.55,Sweden
720,0.42,Sweden
288,0.29,Sweden
192,1.45,Sweden
144,2.89,Sweden
144,2.08,Sweden
144,2.08,Sweden
144,1.45,Sweden
192,1.45,Sweden
144,0.36,Netherlands
144,1.65,Netherlands
192,0.36,Netherlands
200,1.04,Netherlands
180,0.36,Netherlands
192,0.36,Netherlands
120,0.42,Netherlands
200,1.08,Netherlands
120,1.85,Netherlands
120,2.55,Netherlands
108,1.06,Netherlands
144,1.04,Netherlands
144,1.04,Netherlands
144,1.06,Netherlands
160,1.45,France
144,0.72,France
144,0.72,France
288,1.45,Netherlands
144,0.36,Netherlands
144,0.72,Netherlands
144,1.05,Netherlands
144,1.05,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
288,1.06,Netherlands
288,1.06,Netherlands
144,1.85,Netherlands
192,1.65,Netherlands
192,1.65,Netherlands
128,0.72,Netherlands
144,0.72,Netherlands
108,2.1,Netherlands
144,0.36,Netherlands
120,2.1,Netherlands
200,0.72,Netherlands
200,1.45,Netherlands
200,1.45,Netherlands
128,1.06,Netherlands
120,0.42,Netherlands
120,1.45,Netherlands
400,1.08,Netherlands
400,1.08,Netherlands
256,0.72,Netherlands
240,0.36,Netherlands
240,0.36,Netherlands
240,0.42,Netherlands
120,0.42,Netherlands
128,0.72,Netherlands
125,0.42,Germany
125,0.42,Germany
125,0.42,Germany
125,0.42,Germany
125,0.42,Germany
240,1.06,Denmark
120,0.42,Switzerland
144,0.85,Switzerland
120,0.83,Switzerland
120,0.42,France
180,0.36,Belgium
144,0.72,Germany
120,0.42,EIRE
120,1.25,Finland
200,4.15,EIRE
216,0.65,EIRE
144,0.29,EIRE
192,1.45,EIRE
192,1.85,EIRE
192,1.45,EIRE
150,0.85,France
240,3.45,Australia
120,3.45,Australia
144,1.79,Australia
144,1.79,Australia
144,1.79,Australia
250,0.36,Australia
250,0.36,Australia
192,1.25,Australia
180,5.35,Australia
180,5.35,Australia
180,5.35,Australia
180,5.35,Australia
192,1.65,Australia
128,1.06,Australia
128,1.06,Australia
128,1.06,Australia
128,1.06,Australia
128,1.06,Australia
240,0.36,Australia
240,0.36,Australia
240,0.36,Australia
120,0.42,Australia
144,1.65,Australia
144,1.65,Australia
200,0.04,Germany
256,0.72,Denmark
256,1.04,Denmark
144,1.06,Germany
432,0.32,Germany
120,4.95,EIRE
240,5.75,EIRE
200,1.25,Spain
288,1.25,Spain
500,0.72,EIRE
120,2.08,Sweden
250,0.42,Sweden
250,0.42,Sweden
250,0.42,Sweden
250,0.42,Sweden
576,0.65,Sweden
128,1.25,Sweden
384,0.65,Sweden
384,0.65,Sweden
480,0.42,Sweden
240,0.42,Sweden
240,0.42,Sweden
240,0.42,Sweden
240,0.42,Sweden
240,0.42,Sweden
192,1.45,Sweden
192,1.45,Sweden
144,1.25,Sweden
240,1.25,Sweden
144,0.85,Sweden
200,0.72,Italy
144,1.04,Germany
144,1.04,Germany
144,1.04,Germany
144,1.04,Germany
240,0.19,EIRE
640,0.19,EIRE
120,0.39,EIRE
120,0.39,EIRE
120,0.39,EIRE
240,0.39,EIRE
240,0.19,EIRE
192,0.12,EIRE
144,1.04,EIRE
144,1.04,EIRE
144,0.72,EIRE
576,0.55,Netherlands
120,2.1,Netherlands
144,0.72,Netherlands
144,0.72,Netherlands
144,1.45,Netherlands
360,0.36,Netherlands
360,0.42,Netherlands
192,0.55,Netherlands
120,1.65,Netherlands
144,0.39,Netherlands
288,1.06,Netherlands
200,1.79,Netherlands
400,1.04,Netherlands
192,1.45,Netherlands
144,1.65,Netherlands
192,2.55,Netherlands
120,0.42,Netherlands
300,0.72,Netherlands
192,1.04,Netherlands
144,1.25,Netherlands
144,0.36,Netherlands
144,0.36,Netherlands
200,0.72,Netherlands
288,1.45,Netherlands
144,0.36,Netherlands
144,1.65,Netherlands
144,0.72,Netherlands
192,1.65,Netherlands
256,1.65,Netherlands
144,0.36,Netherlands
240,1.04,Netherlands
240,1.04,Netherlands
120,0.42,Netherlands
144,1.06,Netherlands
128,2.55,Netherlands
200,0.72,Netherlands
144,0.36,Netherlands
144,0.65,Netherlands
108,1.45,Netherlands
400,1.08,Netherlands
120,1.85,Netherlands
144,0.36,Netherlands
144,0.39,Netherlands
400,0.36,Netherlands
400,0.36,Netherlands
128,1.06,Netherlands
144,3.29,Netherlands
128,1.06,Netherlands
192,1.04,Netherlands
192,0.72,Netherlands
128,1.06,Netherlands
144,1.79,Netherlands
144,1.79,Netherlands
144,1.79,Netherlands
144,1.79,Netherlands
144,1.79,Netherlands
144,1.45,Netherlands
1728,0.72,Netherlands
144,1.06,Netherlands
120,1.85,Netherlands
120,1.85,Netherlands
176,1.45,Netherlands
144,0.39,Netherlands
192,0.72,Netherlands
144,1.25,Netherlands
144,1.25,Netherlands
288,1.06,Netherlands
960,1.79,Japan
288,2.1,Netherlands
144,0.85,Netherlands
144,3.29,Netherlands
160,0.72,Netherlands
240,0.36,Netherlands
240,0.36,Netherlands
400,1.08,Netherlands
200,1.79,Netherlands
128,1.65,Netherlands
128,1.65,Netherlands
160,1.25,Netherlands
2400,2.08,Netherlands
200,1.45,Netherlands
120,0.42,Norway
912,1.79,France
108,1.25,France
108,1.25,France
108,0.65,France
120,0.39,France
120,0.39,France
300,1.79,France
300,1.79,France
120,0.64,France
120,0.65,France
120,0.72,France
144,0.39,Germany
216,1.79,France
216,2.89,Australia
200,1.79,Netherlands
192,1.25,Netherlands
120,0.42,Netherlands
216,2.08,Netherlands
216,0.0,Australia
336,1.79,Australia
128,0.72,Germany
264,0.29,EIRE
108,0.65,France
144,0.39,Netherlands
144,0.39,Netherlands
144,0.36,Netherlands
144,2.55,Netherlands
576,0.55,Netherlands
120,1.85,Netherlands
240,0.36,Netherlands
240,0.42,Netherlands
144,3.75,Netherlands
144,1.25,Netherlands
120,1.06,Netherlands
240,0.72,Netherlands
192,0.64,Netherlands
216,0.53,Netherlands
384,0.39,Netherlands
288,0.72,Netherlands
200,0.72,Netherlands
240,0.36,Netherlands
240,0.36,Netherlands
200,0.72,Netherlands
240,1.04,Netherlands
120,0.42,Netherlands
