ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
22,1000 Cooking Recipes from ELLE à table,DS,2010-01-01,Misc,Nintendo,0.0,0.02,0.0,0.0
23,1001 Touch Games,DS,2011-01-01,Action,Avanquest,0.11,0.16,0.0,0.04
24,101-in-1 Explosive Megamix,DS,2008-01-01,Puzzle,Nordcurrent,0.05,0.12,0.0,0.02
25,101-in-1 Party Megamix Wii,Wii,2009-01-01,Misc,Nordcurrent,0.19,0.01,0.0,0.02
26,101-in-1 Sports Megamix,DS,2010-01-01,Sports,Nordcurrent,0.08,0.0,0.0,0.01
27,101-in-1 Sports Party Megamix,Wii,2010-01-01,Sports,Nordcurrent,0.02,0.0,0.0,0.0
28,1080°: TenEighty Snowboarding,N64,1998-01-01,Sports,Nintendo,1.25,0.61,0.13,0.05
29,11eyes: CrossOver,X360,2009-01-01,Adventure,5pb,0.0,0.0,0.02,0.0
30,12-Sai. Honto no Kimochi,3DS,2014-01-01,Adventure,Happinet,0.0,0.0,0.07,0.0
31,12-Sai. Koisuru Diary,3DS,2016-01-01,Adventure,Happinet,0.0,0.0,0.05,0.0
32,12Riven: The Psi-Climinal of Integral,PS2,2008-01-01,Adventure,CyberFront,0.0,0.0,0.04,0.0
33,15 Days,PC,2009-01-01,Adventure,DTP Entertainment,0.0,0.01,0.0,0.0
34,1701 A.D.,PC,2006-01-01,Simulation,Deep Silver,0.0,0.25,0.0,0.04
35,18 Wheeler: American Pro Trucker,PS2,2001-01-01,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05
36,18 Wheels of Steel: Extreme Trucker,PC,2009-01-01,Racing,Rondomedia,0.0,0.02,0.0,0.0
37,18 Wheels of Steel: Extreme Trucker 2,PC,2011-01-01,Racing,Rondomedia,0.08,0.02,0.0,0.01
38,187: Ride or Die,PS2,2005-01-01,Racing,Ubisoft,0.07,0.06,0.0,0.02
39,1942,NES,1985-01-01,Shooter,Capcom,0.65,0.14,0.21,0.0
40,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005-01-01,Racing,THQ,0.09,0.03,0.0,0.0
41,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007-01-01,Action,THQ,1.26,0.47,0.0,0.03
42,2 Games in 1: Disney Princess & The Lion King,GBA,2004-01-01,Misc,THQ,1.25,0.46,0.0,0.03
43,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005-01-01,Action,THQ,0.22,0.08,0.0,0.01
44,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005-01-01,Misc,THQ,1.31,0.49,0.0,0.03
45,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005-01-01,Misc,THQ,0.44,0.16,0.0,0.01
46,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005-01-01,Misc,Sega,0.04,0.02,0.0,0.0
47,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005-01-01,Platform,THQ,0.33,0.12,0.0,0.01
48,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004-01-01,Misc,Sega,0.4,0.11,0.0,0.02
49,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005-01-01,Platform,Activision,0.06,0.02,0.0,0.0
50,2002 FIFA World Cup,PS2,2002-01-01,Sports,Electronic Arts,0.21,0.17,0.16,0.06
51,2010 FIFA World Cup South Africa,PSP,2010-01-01,Sports,Electronic Arts,0.09,0.22,0.03,0.12
52,2014 FIFA World Cup Brazil,X360,2014-01-01,Sports,Electronic Arts,0.15,0.25,0.0,0.03
53,24: The Game,PS2,2006-01-01,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04
54,25 to Life,XB,2006-01-01,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01
55,2Xtreme,PS,1996-01-01,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05
56,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010-01-01,Misc,Deep Silver,0.0,0.07,0.0,0.01
57,300: March to Glory,PSP,2007-01-01,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07
58,3D Baseball,PS,1996-01-01,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0
59,3D Dot Game Heroes,PS3,2009-01-01,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07
60,3D Lemmings,PS,1995-01-01,Puzzle,Psygnosis,0.03,0.02,0.0,0.0
61,3D Tank Warfare Simulator Panzer Front,PS,1999-01-01,Simulation,Avalon Interactive,0.06,0.04,0.0,0.01
62,3DS Classic Collection,3DS,2016-01-01,Misc,Sega,0.03,0.0,0.0,0.0
63,3Xtreme,PS,1999-01-01,Action,989 Studios,0.5,0.34,0.0,0.06
64,3rd Super Robot Wars Z Jigoku Hen,PS3,2014-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0
65,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015-01-01,Action,Namco Bandai Games,0.0,0.0,0.15,0.0
66,4 Elements,PC,2009-01-01,Puzzle,Mastertronic,0.0,0.04,0.0,0.01
67,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005-01-01,Misc,Atari,0.1,0.0,0.0,0.01
68,4 Nin uchi Mahjong,NES,1984-01-01,Misc,Nintendo,0.0,0.0,1.45,0.0
69,4 Play Collection - Dark Mysteries,PC,2014-01-01,Misc,Avanquest Software,0.0,0.01,0.0,0.0
70,40 Winks,PS,1999-01-01,Platform,GT Interactive,0.17,0.12,0.0,0.02
71,428: Fuusa Sareta Shibuya de,PSP,2009-01-01,Adventure,Spike,0.0,0.0,0.04,0.0
72,4x4 EVO 2,GC,2002-01-01,Racing,Vivendi Games,0.11,0.03,0.0,0.0
73,4x4 Evolution,PS2,2001-01-01,Racing,Gathering of Developers,0.16,0.12,0.0,0.04
74,50 Cent: Blood on the Sand,X360,2009-01-01,Shooter,THQ,0.12,0.07,0.0,0.02
75,50 Cent: Bulletproof,XB,2005-01-01,Action,Vivendi Games,0.33,0.1,0.0,0.02
76,50 Classic Games,3DS,2012-01-01,Misc,Avanquest Software,0.0,0.01,0.0,0.0
77,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997-01-01,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0
78,7 Days to Die,PS4,2016-01-01,Action,Telltale Games,0.04,0.08,0.0,0.02
79,7 Roses: A Darkness Rises,PC,2015-01-01,Misc,Avanquest Software,0.0,0.02,0.0,0.0
80,7 Wonders II,DS,2009-01-01,Puzzle,Rondomedia,0.13,0.15,0.0,0.03
81,7 Wonders of the Ancient World,PSP,2007-01-01,Puzzle,Mumbo Jumbo,0.07,0.0,0.0,0.01
82,7 Wonders: Treasures of Seven,DS,2011-01-01,Puzzle,Avanquest,0.01,0.02,0.0,0.0
83,7'scarlet,PSV,2016-01-01,Adventure,Idea Factory,0.0,0.0,0.01,0.0
84,7th Dragon,DS,2009-01-01,Role-Playing,Sega,0.0,0.0,0.14,0.0
85,7th Dragon 2020,PSP,2011-01-01,Role-Playing,Sega,0.0,0.0,0.2,0.0
86,7th Dragon 2020-II,PSP,2013-01-01,Role-Playing,Sega,0.0,0.0,0.13,0.0
87,7th Dragon III Code: VFD,3DS,2015-01-01,Role-Playing,Sega,0.04,0.0,0.12,0.0
88,99 no Namida,DS,2008-01-01,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0
89,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009-01-01,Adventure,ChunSoft,0.31,0.0,0.03,0.02
90,A Boy and His Blob,Wii,2009-01-01,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01
91,A Bug's Life,N64,1998-01-01,Platform,Activision,0.49,0.13,0.0,0.01
92,A Collection of Activision Classic Games for the Atari 2600,PS,1998-01-01,Misc,Activision,0.76,0.52,0.0,0.09
93,A Collection of Classic Games from the Intellivision,PS,1999-01-01,Misc,Activision,0.17,0.12,0.0,0.02
94,A Game of Thrones: Genesis,PC,2011-01-01,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01
95,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015-01-01,Action,Kaga Create,0.0,0.0,0.03,0.0
96,A New Beginning,PC,2010-01-01,Adventure,Deep Silver,0.0,0.05,0.0,0.01
97,A Ressha de Gyoukou 2001,PS2,2001-01-01,Simulation,ArtDink,0.0,0.0,0.03,0.0
98,A Ressha de Ikou DS,DS,2009-01-01,Simulation,ArtDink,0.0,0.0,0.04,0.0
99,A Vampyre Story,PC,2008-01-01,Adventure,Crimson Cow,0.0,0.01,0.0,0.0
100,A Witch's Tale,DS,2009-01-01,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01
101,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995-01-01,Simulation,Pack-In-Video,0.0,0.0,0.06,0.0
102,A-Train,PS,1995-01-01,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01
103,A-Train 6,PS2,2000-01-01,Strategy,Midas Interactive Entertainment,0.0,0.0,0.06,0.0
104,A-Train: City Simulator,3DS,2014-01-01,Simulation,ArtDink,0.0,0.0,0.06,0.0
105,A. IV Evolution: A Ressha de Ikou 4,PS,1994-01-01,Strategy,ArtDink,0.0,0.0,0.24,0.02
106,A.C.E.: Another Century's Episode,PS2,2005-01-01,Simulation,Banpresto,0.0,0.0,0.26,0.0
107,A.C.E.: Another Century's Episode 2,PS2,2006-01-01,Simulation,Banpresto,0.0,0.0,0.18,0.0
108,A.C.E.: Another Century's Episode 3: The Final,PS2,2007-01-01,Simulation,Banpresto,0.0,0.0,0.26,0.0
109,A.C.E.: Another Century's Episode Portable,PSP,2011-01-01,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0
110,A.C.E.: Another Century's Episode R,PS3,2010-01-01,Simulation,Namco Bandai Games,0.0,0.0,0.26,0.0
111,ABBA: You Can Dance,Wii,2011-01-01,Misc,Ubisoft,0.18,0.49,0.0,0.1
112,AC/DC LIVE: Rock Band Track Pack,X360,2008-01-01,Misc,MTV Games,0.21,0.0,0.0,0.02
113,AIR,PSP,2007-01-01,Adventure,Prototype,0.0,0.0,0.02,0.0
114,AKB1/149: Love Election,PSP,2012-01-01,Adventure,Namco Bandai Games,0.0,0.0,0.23,0.0
115,AKB1/48: Idol to Guam de Koishitara...,PSP,2011-01-01,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0
116,AKB1/48: Idol to Koishitara...,PSP,2010-01-01,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0
117,AKB48+Me,3DS,2012-01-01,Action,Unknown,0.0,0.0,0.11,0.0
118,AMF Bowling 2004,XB,2003-01-01,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01
119,AMF Bowling Pinbusters!,Wii,2007-01-01,Sports,Bethesda Softworks,0.84,0.0,0.0,0.07
120,AMF Bowling World Lanes,Wii,2008-01-01,Sports,Bethesda Softworks,0.33,0.0,0.0,0.03
121,AMF Xtreme Bowling,PS2,2006-01-01,Sports,Mastertronic,0.01,0.01,0.0,0.0
122,AMNESIA World,PSV,2014-01-01,Adventure,Idea Factory,0.0,0.0,0.03,0.0
123,APB Reloaded,PC,2011-01-01,Role-Playing,Iceberg Interactive,0.02,0.01,0.0,0.0
124,ASH: Archaic Sealed Heat,DS,2007-01-01,Role-Playing,Nintendo,0.0,0.0,0.12,0.0
125,ATV Offroad Fury,PS2,2001-01-01,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08
126,ATV Offroad Fury 2,PS2,2002-01-01,Racing,THQ,1.92,0.2,0.0,0.06
127,ATV Offroad Fury 3,PS2,2004-01-01,Racing,SouthPeak Games,1.0,0.04,0.0,0.16
128,ATV Offroad Fury Pro,PSP,2006-01-01,Racing,Sony Computer Entertainment,0.37,0.03,0.0,0.04
129,ATV Offroad Fury: Blazin' Trails,PSP,2005-01-01,Racing,SouthPeak Games,0.53,0.0,0.0,0.04
130,ATV Quad Kings,DS,2010-01-01,Racing,Storm City Games,0.1,0.0,0.0,0.01
131,ATV Quad Power Racing 2,XB,2003-01-01,Racing,Acclaim Entertainment,0.36,0.07,0.0,0.01
132,ATV/Monster Truck Mayhem,DS,2007-01-01,Racing,"Destination Software, Inc",0.33,0.0,0.0,0.02
133,ATV: Quad Frenzy,DS,2005-01-01,Racing,Majesco Entertainment,0.1,0.0,0.0,0.01
134,ATV: Quad Power Racing,PS,2000-01-01,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07
135,Aa Megami-samaa,PS2,2007-01-01,Adventure,Marvelous Interactive,0.0,0.0,0.01,0.0
136,Abunai: Koi no Sousa Shitsu,PSV,2015-01-01,Action,Asgard,0.0,0.0,0.02,0.0
137,Academy of Champions: Soccer,Wii,2009-01-01,Sports,Ubisoft,0.09,0.02,0.0,0.01
138,Accel World: Ginyoku no Kakusei,PS3,2012-01-01,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0
139,Accel World: Kasoku no Chouten,PSP,2013-01-01,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0
140,Ace Attorney 6,3DS,2016-01-01,Adventure,Capcom,0.0,0.0,0.27,0.0
141,Ace Attorney Investigations 2,DS,2011-01-01,Adventure,Capcom,0.0,0.0,0.26,0.0
142,Ace Attorney Investigations: Miles Edgeworth,DS,2009-01-01,Adventure,Capcom,0.23,0.14,0.3,0.04
143,Ace Combat 04: Shattered Skies,PS2,2001-01-01,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17
144,Ace Combat 2,PS,1997-01-01,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06
145,Ace Combat 3: Electrosphere,PS,1999-01-01,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05
146,Ace Combat 5: The Unsung War,PS2,2004-01-01,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18
147,Ace Combat 6: Fires of Liberation,X360,2007-01-01,Simulation,Atari,0.69,0.04,0.22,0.06
148,Ace Combat X: Skies of Deception,PSP,2006-01-01,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19
149,Ace Combat Zero: The Belkan War,PS2,2006-01-01,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04
150,Ace Combat: Assault Horizon,PS3,2011-01-01,Action,Namco Bandai Games,0.3,0.15,0.22,0.07
151,Ace Combat: Assault Horizon Legacy,3DS,2011-01-01,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01
152,Ace Combat: Joint Assault,PSP,2010-01-01,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03
153,Achtung Panzer: Kharkov 1943,PC,2010-01-01,Strategy,Mamba Games,0.0,0.01,0.0,0.0
154,Act of Aggression,PC,2015-01-01,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0
155,Action Bass,PS,2000-01-01,Action,Take-Two Interactive,0.64,0.43,0.0,0.07
156,Action Force,2600,1982-01-01,Action,CPG Products,0.5,0.03,0.0,0.01
157,Active Health with Carol Vorderman,DS,2009-01-01,Sports,Nintendo,0.0,0.18,0.0,0.01
158,Active Life Explorer,Wii,2010-01-01,Sports,Namco Bandai Games,0.13,0.0,0.0,0.01
159,Active Life: Extreme Challenge,Wii,2009-01-01,Sports,Namco Bandai Games,0.14,0.27,0.0,0.06
160,Active Life: Magical Carnival,Wii,2011-01-01,Misc,Namco Bandai Games,0.03,0.01,0.0,0.0
161,Active Life: Outdoor Challenge,Wii,2008-01-01,Sports,Atari,0.78,0.43,0.19,0.14
162,Activision Anthology,PS2,2002-01-01,Misc,Activision,0.25,0.19,0.0,0.06
163,Activision Hits: Remixed,PSP,2006-01-01,Misc,Activision,0.05,0.0,0.0,0.0
164,Actua Tennis,PS,1997-01-01,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01
165,Adidas Power Soccer,PS,1996-01-01,Sports,Psygnosis,0.02,0.01,0.0,0.0
166,Adidas Power Soccer 98,PS,1998-01-01,Sports,Psygnosis,0.01,0.01,0.0,0.0
167,Adrenalin Misfits,X360,2010-01-01,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01
168,Advance Guardian Heroes,GBA,2004-01-01,Role-Playing,Ubisoft,0.03,0.01,0.0,0.0
169,Advance Wars,GBA,2001-01-01,Strategy,Nintendo,0.5,0.19,0.0,0.01
170,Advance Wars 2: Black Hole Rising,GBA,2003-01-01,Strategy,Nintendo,0.47,0.17,0.0,0.01
171,Advance Wars: Dual Strike,DS,2005-01-01,Strategy,Nintendo,0.3,0.02,0.04,0.03
172,Advent Rising,XB,2005-01-01,Action,THQ,0.1,0.03,0.0,0.0
173,Adventure Island,NES,1986-01-01,Platform,Hudson Soft,0.0,0.0,1.05,0.0
174,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013-01-01,Action,D3Publisher,0.03,0.04,0.0,0.01
175,Adventure Time: Finn & Jake Investigations,XOne,2015-01-01,Action,Little Orbit,0.03,0.02,0.0,0.0
176,Adventure Time: The Secret of the Nameless,X360,2014-01-01,Adventure,Little Orbit,0.01,0.0,0.0,0.0
177,Adventure Time: The Secret of the Nameless Kingdom,X360,2014-01-01,Action,Little Orbit,0.0,0.05,0.0,0.0
178,Adventures of Lolo,NES,1989-01-01,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0
179,Adventures of Tron,2600,1981-01-01,Action,Mattel Interactive,0.63,0.03,0.0,0.01
180,Adventures to Go!,PSP,2008-01-01,Role-Playing,Zushi Games,0.11,0.0,0.01,0.02
181,Aedis Eclipse: Generation of Chaos,PSP,2006-01-01,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0
182,Aegis of Earth: Protonovus Assault,PSV,2016-01-01,Action,PQube,0.01,0.01,0.0,0.01
183,Aeon Flux,PS2,2005-01-01,Action,THQ,0.02,0.02,0.0,0.01
184,Aero Elite: Combat Academy,PS2,2002-01-01,Simulation,Sega,0.04,0.03,0.0,0.01
185,Aero Gauge,N64,1997-01-01,Racing,ASCII Entertainment,0.06,0.01,0.0,0.0
186,AeroFighters Assault,N64,1997-01-01,Action,Video System,0.15,0.04,0.0,0.0
187,Afrika,PS3,2008-01-01,Adventure,Unknown,0.12,0.0,0.08,0.01
188,Afro Samurai,X360,2009-01-01,Action,Atari,0.16,0.05,0.0,0.02
189,After Hours Athletes,PS3,2011-01-01,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02
190,Again,DS,2009-01-01,Adventure,Ackkstudios,0.07,0.0,0.0,0.0
191,Agassi Tennis Generation,PS2,2003-01-01,Sports,DreamCatcher Interactive,0.04,0.03,0.0,0.01
192,Agatha Christie's The ABC Murders,PS4,2016-01-01,Adventure,Microids,0.01,0.01,0.0,0.0
193,Agatha Christie: And Then There Were None,Wii,2008-01-01,Adventure,The Adventure Company,0.06,0.01,0.0,0.01
194,Agatha Christie: Death on the Nile,PC,2008-01-01,Adventure,Big Fish Games,0.0,0.01,0.0,0.0
195,Agatha Christie: Evil Under the Sun,Wii,2008-01-01,Adventure,The Adventure Company,0.06,0.01,0.0,0.01
196,Agatha Christie: Peril at End House,PC,2009-01-01,Adventure,JoWood Productions,0.0,0.01,0.0,0.0
197,Agatha Christie: The ABC Murders,DS,2009-01-01,Adventure,JoWood Productions,0.08,0.01,0.0,0.01
198,Age of Conan: Rise of the Godslayer,PC,2010-01-01,Role-Playing,Funcom,0.0,0.02,0.0,0.0
199,Age of Empires II: The Age of Kings,PC,1999-01-01,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01
200,Age of Empires III,PC,2005-01-01,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05
201,Age of Empires III: Complete Collection,PC,2009-01-01,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03
202,Age of Empires III: Gold Edition,PC,2007-01-01,Strategy,Microsoft Game Studios,0.0,0.02,0.0,0.0
203,Age of Empires III: The Asian Dynasties,PC,2007-01-01,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01
204,Age of Empires Online,PC,2011-01-01,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01
205,Age of Empires: Collector's Edition,PC,2000-01-01,Strategy,Ubisoft,0.02,0.1,0.0,0.02
206,Age of Empires: Mythologies,DS,2008-01-01,Strategy,THQ,0.16,0.03,0.0,0.02
207,Age of Empires: The Age of Kings,DS,2006-01-01,Strategy,THQ,0.18,0.02,0.0,0.02
208,Age of Mythology,PC,2002-01-01,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01
209,Age of Mythology: The Titans,PC,2003-01-01,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0
210,Aggressive Inline,PS2,2002-01-01,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04
211,Agile Warrior F-111X,PS,1995-01-01,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01
212,Aibou DS,DS,2009-01-01,Adventure,Tecmo Koei,0.0,0.0,0.08,0.0
213,Aidyn Chronicles: The First Mage,N64,2001-01-01,Role-Playing,THQ,0.08,0.02,0.0,0.0
214,Aikatsu Stars! My Special Appeal,3DS,2016-01-01,Action,Namco Bandai Games,0.0,0.0,0.01,0.0
215,Aikatsu! 2-nin no My Princess,3DS,2013-01-01,Action,Namco Bandai Games,0.0,0.0,0.26,0.0
216,Aikatsu! 365 Idol Days,3DS,2014-01-01,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0
217,Aikatsu! Cinderella Lesson,3DS,2012-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.2,0.0
218,Aikatsu! My No.1 Stage!,3DS,2015-01-01,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0
219,Ailu de Puzzle,PSP,2012-01-01,Action,Capcom,0.0,0.0,0.04,0.0
220,Air Combat,PS,1995-01-01,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05
221,Air Conflicts: Aces of World War II,PSP,2009-01-01,Simulation,Graffiti,0.05,0.0,0.0,0.0
222,Air Conflicts: Secret Wars,PC,2011-01-01,Simulation,bitComposer Games,0.0,0.02,0.0,0.01
223,Air Raid,2600,1981-01-01,Action,Men-A-Vision,0.72,0.04,0.0,0.01
224,Air Traffic Chaos,DS,2007-01-01,Simulation,Ertain,0.05,0.0,0.0,0.0
225,AirForce Delta Storm,XB,2001-01-01,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01
226,AirForce Delta Strike,PS2,2004-01-01,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01
227,Airblade,PS2,2001-01-01,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03
228,Airborne Troops: Countdown to D-Day,PS2,2005-01-01,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02
229,Airline Tycoon,PC,2000-01-01,Simulation,Interplay,0.0,0.01,0.0,0.0
230,Airline Tycoon 2,PC,2011-01-01,Simulation,Kalypso Media,0.0,0.04,0.0,0.01
231,Airlock,2600,1981-01-01,Action,Data Age,0.36,0.02,0.0,0.0
232,Airport Simulator,PC,2011-01-01,Simulation,Unknown,0.0,0.02,0.0,0.0
233,Airship Q,PSV,2015-01-01,Platform,Cygames,0.0,0.0,0.03,0.0
234,Aiyoku no Eustia,PSV,2014-01-01,Misc,dramatic create,0.0,0.0,0.01,0.0
235,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008-01-01,Adventure,Marvelous Interactive,0.0,0.0,0.06,0.0
236,Akai Ito DS,DS,2008-01-01,Adventure,Alchemist,0.0,0.0,0.02,0.0
237,Akai Katana Shin,X360,2011-01-01,Shooter,Cave,0.04,0.0,0.01,0.0
238,Akane Iro ni Somaru Saka Parallel,PS2,2008-01-01,Adventure,GN Software,0.0,0.0,0.03,0.0
239,Akatsuki no Amaneka to Aoi Kyojin,PSP,2010-01-01,Strategy,CyberFront,0.0,0.0,0.01,0.0
240,Akatsuki no Goei Trinity,PS3,2012-01-01,Adventure,5pb,0.0,0.0,0.01,0.0
241,Akiba's Trip,PSP,2011-01-01,Adventure,Acquire,0.0,0.0,0.14,0.0
242,Akiba's Trip Plus,PSP,2012-01-01,Adventure,Acquire,0.0,0.0,0.08,0.0
243,Akiba's Trip: Undead & Undressed,PS3,2013-01-01,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01
244,Akko ni Omakase! Brain Shock,DS,2006-01-01,Misc,Taito,0.0,0.0,0.04,0.0
245,Akuji the Heartless,PS,1998-01-01,Platform,Eidos Interactive,0.07,0.04,0.0,0.01
246,Aladdin Magic Racer,Wii,2011-01-01,Racing,Big Ben Interactive,0.01,0.0,0.0,0.0
247,Alan Wake,PC,2012-01-01,Action,Nordic Games,0.0,0.06,0.0,0.01
248,Alexi Lalas International Soccer,PS,1998-01-01,Sports,Take-Two Interactive,0.04,0.03,0.0,0.0
249,Alfa Romeo Racing Italiano,PS2,2005-01-01,Racing,Black Bean Games,0.01,0.01,0.0,0.0
250,Alia's Carnival! Sacrament,PSV,2015-01-01,Adventure,dramatic create,0.0,0.0,0.03,0.0
251,Alias,XB,2004-01-01,Action,Acclaim Entertainment,0.04,0.01,0.0,0.0
252,Alice in Wonderland,DS,2010-01-01,Adventure,Disney Interactive Studios,0.25,0.17,0.0,0.04
253,Alice: Madness Returns,PS3,2011-01-01,Adventure,Electronic Arts,0.22,0.24,0.04,0.08
