,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,venta_total,Date
11660,537262,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-06 11:26:00,2.95,15039.0,United Kingdom,23.6,2010-12-06
12190,537370,20972,PINK CREAM FELT CRAFT TRINKET BOX ,5,2010-12-06 12:44:00,1.25,13155.0,United Kingdom,6.25,2010-12-06
12720,537393,22112,CHOCOLATE HOT WATER BOTTLE,24,2010-12-06 13:59:00,4.25,13089.0,United Kingdom,102.0,2010-12-06
13250,537429,20719,WOODLAND CHARLOTTE BAG,6,2010-12-06 15:54:00,0.85,12748.0,United Kingdom,5.1,2010-12-06
13780,537434,47566,PARTY BUNTING,11,2010-12-06 16:57:00,8.47,,United Kingdom,93.17,2010-12-06
14310,537489,22737,RIBBON REEL CHRISTMAS PRESENT ,10,2010-12-07 11:33:00,1.65,17017.0,United Kingdom,16.5,2010-12-07
14840,537623,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,2010-12-07 14:31:00,12.75,15858.0,United Kingdom,12.75,2010-12-07
15370,537638,22568,FELTCRAFT CUSHION OWL,1,2010-12-07 15:28:00,7.62,,United Kingdom,7.62,2010-12-07
15900,537642,21867,PINK UNION JACK  LUGGAGE TAG,1,2010-12-07 15:33:00,2.51,,United Kingdom,2.51,2010-12-07
16430,537658,82484,WOOD BLACK BOARD ANT WHITE FINISH,48,2010-12-07 16:43:00,4.78,18102.0,United Kingdom,229.44,2010-12-07
16960,537666,22141,CHRISTMAS CRAFT TREE TOP ANGEL,3,2010-12-07 18:36:00,4.21,,United Kingdom,12.629999999999999,2010-12-07
17490,537764,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,2010-12-08 12:06:00,4.25,16893.0,United Kingdom,4.25,2010-12-08
18020,537793,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-08 12:57:00,1.65,15032.0,United Kingdom,165.0,2010-12-08
18550,537823,16225,RATTLE SNAKE EGGS,1,2010-12-08 14:25:00,3.36,,United Kingdom,3.36,2010-12-08
19080,537830,20761,BLUE PAISLEY SKETCHBOOK,2,2010-12-08 14:46:00,3.75,13649.0,United Kingdom,7.5,2010-12-08
19610,537871,22553,PLASTERS IN TIN SKULLS,1,2010-12-08 17:20:00,1.65,12748.0,United Kingdom,1.65,2010-12-08
20140,538011,21900,"KEY FOB , SHED",22,2010-12-09 12:24:00,0.65,14896.0,United Kingdom,14.3,2010-12-09
20670,538069,22834,HAND WARMER BABUSHKA DESIGN,3,2010-12-09 14:08:00,2.1,16795.0,United Kingdom,6.300000000000001,2010-12-09
21200,538071,79144C,PAINTED LIGHTBULB RAINBOW DESIGN,2,2010-12-09 14:09:00,0.84,,United Kingdom,1.68,2010-12-09
21730,538116,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,2010-12-09 15:32:00,7.95,13327.0,United Kingdom,15.9,2010-12-09
22260,538156,22150,3 STRIPEY MICE FELTCRAFT,6,2010-12-09 16:53:00,1.95,15555.0,United Kingdom,11.7,2010-12-09
22790,538177,22194,BLACK DINER WALL CLOCK,1,2010-12-10 09:51:00,16.98,,United Kingdom,16.98,2010-12-10
23320,538198,22570,FELTCRAFT CUSHION RABBIT,4,2010-12-10 11:01:00,3.75,17827.0,United Kingdom,15.0,2010-12-10
23850,538255,20725,LUNCH BAG RED RETROSPOT,10,2010-12-10 12:33:00,1.65,14911.0,EIRE,16.5,2010-12-10
24380,538349,21288,STRIPEY CHOCOLATE NESTING BOXES,1,2010-12-10 14:59:00,5.91,,United Kingdom,5.91,2010-12-10
24910,538349,22112,CHOCOLATE HOT WATER BOTTLE,26,2010-12-10 14:59:00,4.25,,United Kingdom,110.5,2010-12-10
25440,538369,21790,VINTAGE SNAP CARDS,7,2010-12-12 11:06:00,0.85,17251.0,United Kingdom,5.95,2010-12-12
25970,538437,22469,HEART OF WICKER SMALL,5,2010-12-12 12:18:00,1.65,16010.0,United Kingdom,8.25,2010-12-12
26500,538514,22505,MEMO BOARD COTTAGE DESIGN,4,2010-12-12 14:27:00,4.95,15044.0,United Kingdom,19.8,2010-12-12
27030,538524,22459,CAST IRON HOOK GARDEN TROWEL,1,2010-12-13 09:35:00,5.06,,United Kingdom,5.06,2010-12-13
27560,538566,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1,2010-12-13 11:21:00,1.66,,United Kingdom,1.66,2010-12-13
28090,538626,22357,KINGS CHOICE BISCUIT TIN,3,2010-12-13 12:57:00,4.25,17338.0,United Kingdom,12.75,2010-12-13
28620,538651,22788,BROCANTE COAT RACK,2,2010-12-13 15:07:00,9.95,15311.0,United Kingdom,19.9,2010-12-13
29150,538709,22273,FELTCRAFT DOLL MOLLY,2,2010-12-14 10:46:00,2.95,16442.0,United Kingdom,5.9,2010-12-14
29680,538814,22834,HAND WARMER BABUSHKA DESIGN,2,2010-12-14 12:30:00,2.1,15983.0,United Kingdom,4.2,2010-12-14
30210,538852,21754,HOME BUILDING BLOCK WORD,2,2010-12-14 13:33:00,5.95,17372.0,United Kingdom,11.9,2010-12-14
30740,538879,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-14 15:50:00,0.55,15392.0,United Kingdom,13.200000000000001,2010-12-14
31270,538917,90200A,PURPLE SWEETHEART BRACELET,4,2010-12-15 10:57:00,4.25,17449.0,United Kingdom,17.0,2010-12-15
31800,539014,21870,I CAN ONLY PLEASE ONE PERSON MUG,14,2010-12-15 13:37:00,1.25,17692.0,United Kingdom,17.5,2010-12-15
32330,539053,22942,CHRISTMAS LIGHTS 10 SANTAS ,1,2010-12-15 16:32:00,8.5,16725.0,United Kingdom,8.5,2010-12-15
32860,539185,20910,VINTAGE PHOTO ALBUM PARIS DAYS,2,2010-12-16 11:53:00,6.35,16470.0,United Kingdom,12.7,2010-12-16
33390,539250,21615,4 LAVENDER BOTANICAL DINNER CANDLES,24,2010-12-16 13:44:00,1.25,15157.0,United Kingdom,30.0,2010-12-16
33920,539307,22608,PENS ASSORTED FUNKY JEWELED ,180,2010-12-16 17:43:00,0.21,13694.0,United Kingdom,37.8,2010-12-16
34450,539379,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2010-12-17 11:43:00,5.95,15780.0,United Kingdom,17.85,2010-12-17
34980,539434,22167, OVAL WALL MIRROR DIAMANTE ,1,2010-12-17 14:41:00,8.47,,United Kingdom,8.47,2010-12-17
35510,539436,22837,HOT WATER BOTTLE BABUSHKA ,5,2010-12-17 14:49:00,9.32,,United Kingdom,46.6,2010-12-17
36040,539437,47591B,SCOTTIES CHILDRENS APRON,3,2010-12-17 14:54:00,1.66,,United Kingdom,4.9799999999999995,2010-12-17
36570,539451,21801,CHRISTMAS TREE DECORATION WITH BELL,6,2010-12-17 16:59:00,0.43,,United Kingdom,2.58,2010-12-17
37100,539453,21000,ROSE DU SUD COSMETICS BAG,1,2010-12-17 17:08:00,3.36,,United Kingdom,3.36,2010-12-17
37630,539473,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,8,2010-12-19 14:24:00,4.25,14911.0,EIRE,34.0,2010-12-19
38160,539492,22757,LARGE RED BABUSHKA NOTEBOOK ,2,2010-12-20 10:14:00,2.51,,United Kingdom,5.02,2010-12-20
38690,539595,22835,HOT WATER BOTTLE I AM SO POORLY,3,2010-12-20 13:43:00,9.32,,United Kingdom,27.96,2010-12-20
39220,539631,22659,LUNCH BOX I LOVE LONDON,5,2010-12-20 15:03:00,4.21,,United Kingdom,21.05,2010-12-20
39750,539666,22070,SMALL RED RETROSPOT MUG IN BOX ,24,2010-12-21 10:41:00,3.75,16029.0,United Kingdom,90.0,2010-12-21
40280,539735,22209,WOOD STAMP SET HAPPY BIRTHDAY,1,2010-12-21 15:17:00,3.36,,United Kingdom,3.36,2010-12-21
40810,539743,21249,WOODLAND  HEIGHT CHART STICKERS ,1,2010-12-21 15:20:00,5.91,,United Kingdom,5.91,2010-12-21
41340,539831,20780,BLACK EAR MUFF HEADPHONES,2,2010-12-22 13:17:00,5.49,14606.0,United Kingdom,10.98,2010-12-22
41870,539958,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2,2010-12-23 13:26:00,0.85,,United Kingdom,1.7,2010-12-23
42400,539988,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,1,2010-12-23 16:06:00,1.25,18116.0,United Kingdom,1.25,2010-12-23
42930,540026,90183B,AMETHYST DROP EARRINGS W LONG BEADS,1,2011-01-04 13:25:00,2.96,,United Kingdom,2.96,2011-01-04
43460,540060,48187,DOORMAT NEW ENGLAND,2,2011-01-04 14:40:00,7.95,14732.0,United Kingdom,15.9,2011-01-04
43990,540154,47585A,PINK FAIRY CAKE CUSHION COVER,2,2011-01-05 11:30:00,4.21,,United Kingdom,8.42,2011-01-05
44520,540179,84763,ZINC FINISH 15CM PLANTER POTS,2,2011-01-05 12:54:00,1.25,16033.0,United Kingdom,2.5,2011-01-05
45050,540247,22082,RIBBON REEL STRIPES DESIGN ,1,2011-01-05 15:56:00,1.65,15464.0,United Kingdom,1.65,2011-01-05
45580,540268,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2011-01-06 11:25:00,1.69,13458.0,United Kingdom,81.12,2011-01-06
46110,540352,16225,RATTLE SNAKE EGGS,4,2011-01-06 14:27:00,0.85,,United Kingdom,3.4,2011-01-06
46640,540356,22083,PAPER CHAIN KIT RETROSPOT,1,2011-01-06 15:12:00,6.77,,United Kingdom,6.77,2011-01-06
47170,C540393,85042,ANTIQUE LILY FAIRY LIGHTS,-1,2011-01-06 18:08:00,4.95,17428.0,United Kingdom,-4.95,2011-01-06
47700,540418,21802,CHRISTMAS TREE HEART DECORATION,14,2011-01-07 11:04:00,0.43,,United Kingdom,6.02,2011-01-07
48230,540468,21028,NINJA RABBIT BLACK,1,2011-01-07 13:55:00,0.85,,United Kingdom,0.85,2011-01-07
48760,540473,22302,COFFEE MUG PEARS  DESIGN,6,2011-01-07 14:31:00,2.55,17284.0,United Kingdom,15.299999999999999,2011-01-07
49290,540511,22269,EGG CUP NATURAL CHICKEN,3,2011-01-09 11:34:00,1.25,14472.0,United Kingdom,3.75,2011-01-09
49820,540533,21931,JUMBO STORAGE BAG SUKI,4,2011-01-09 14:12:00,1.95,15005.0,United Kingdom,7.8,2011-01-09
50350,540551,21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,5,2011-01-10 09:43:00,3.36,,United Kingdom,16.8,2011-01-10
50880,540566,22520,CHILDS GARDEN TROWEL BLUE ,2,2011-01-10 10:58:00,0.85,17811.0,United Kingdom,1.7,2011-01-10
51410,540646,22257,FELT FARM ANIMAL SHEEP,3,2011-01-10 14:32:00,0.85,,United Kingdom,2.55,2011-01-10
51940,540681,21934,SKULL SHOULDER BAG,1,2011-01-10 16:25:00,1.66,,United Kingdom,1.66,2011-01-10
52470,540798,47566,PARTY BUNTING,1,2011-01-11 12:11:00,4.65,17365.0,United Kingdom,4.65,2011-01-11
53000,540821,85180A,RED HEARTS LIGHT CHAIN ,4,2011-01-11 13:16:00,2.51,,United Kingdom,10.04,2011-01-11
53530,540839,21121,SET/10 RED POLKADOT PARTY CANDLES,2,2011-01-11 15:42:00,1.25,16791.0,United Kingdom,2.5,2011-01-11
54060,540849,22113,GREY HEART HOT WATER BOTTLE,4,2011-01-12 09:33:00,3.75,14270.0,United Kingdom,15.0,2011-01-12
54590,540968,22690,DOORMAT HOME SWEET HOME BLUE ,1,2011-01-12 13:40:00,7.95,17338.0,United Kingdom,7.95,2011-01-12
55120,540977,22371,AIRLINE BAG VINTAGE TOKYO 78,2,2011-01-12 15:01:00,4.21,,United Kingdom,8.42,2011-01-12
55650,540995,22178,VICTORIAN GLASS HANGING T-LIGHT,4,2011-01-13 09:30:00,2.46,,United Kingdom,9.84,2011-01-13
56180,541088,21071,VINTAGE BILLBOARD DRINK ME MUG,12,2011-01-13 12:41:00,1.25,15513.0,United Kingdom,15.0,2011-01-13
56710,541111,82551,LAUNDRY 15C METAL SIGN,12,2011-01-13 15:13:00,1.45,15687.0,United Kingdom,17.4,2011-01-13
57240,541138,21931,JUMBO STORAGE BAG SUKI,10,2011-01-14 10:42:00,1.95,12553.0,France,19.5,2011-01-14
57770,541219,37450,CERAMIC CAKE BOWL + HANGING CAKES,1,2011-01-14 14:06:00,5.79,,United Kingdom,5.79,2011-01-14
58300,541225,85014B,RED RETROSPOT UMBRELLA,3,2011-01-14 14:47:00,5.95,14099.0,United Kingdom,17.85,2011-01-14
58830,541264,85174,S/4 CACTI CANDLES,1,2011-01-16 16:10:00,4.95,17064.0,United Kingdom,4.95,2011-01-16
59360,541282,22726,ALARM CLOCK BAKELIKE GREEN,2,2011-01-17 12:31:00,3.75,17690.0,United Kingdom,7.5,2011-01-17
59890,541414,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,2011-01-17 16:14:00,0.85,18212.0,United Kingdom,1.7,2011-01-17
60420,541422,21935,SUKI  SHOULDER BAG,5,2011-01-17 17:48:00,1.63,,United Kingdom,8.149999999999999,2011-01-17
60950,541423,84931A,PINK SCOTTIE DOG W FLOWER PATTERN,2,2011-01-17 17:54:00,1.63,,United Kingdom,3.26,2011-01-17
61480,541424,22249,DECORATION WHITE CHICK MAGIC GARDEN,8,2011-01-17 17:57:00,0.79,,United Kingdom,6.32,2011-01-17
62010,541493,21931,JUMBO STORAGE BAG SUKI,27,2011-01-18 14:29:00,4.96,,United Kingdom,133.92,2011-01-18
62540,541506,47590b,PINK HAPPY BIRTHDAY BUNTING,2,2011-01-18 16:05:00,10.79,,United Kingdom,21.58,2011-01-18
63070,541518,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-01-19 09:05:00,0.55,12451.0,Switzerland,13.200000000000001,2011-01-19
63600,541584,22202,MILK PAN PINK POLKADOT,1,2011-01-19 14:12:00,7.46,,United Kingdom,7.46,2011-01-19
64130,541593,23233,WRAP POPPIES  DESIGN,25,2011-01-19 15:20:00,0.42,17611.0,United Kingdom,10.5,2011-01-19
64660,541658,21987,PACK OF 6 SKULL PAPER CUPS,1,2011-01-20 12:16:00,0.65,15529.0,United Kingdom,0.65,2011-01-20
65190,541695,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,29,2011-01-20 18:01:00,2.46,,United Kingdom,71.34,2011-01-20
65720,541696,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2011-01-20 18:08:00,16.63,,United Kingdom,16.63,2011-01-20
66250,541785,22759,SET OF 3 NOTEBOOKS IN PARCEL,3,2011-01-21 12:40:00,1.65,14779.0,United Kingdom,4.949999999999999,2011-01-21
66780,541816,20679,EDWARDIAN PARASOL RED,2,2011-01-21 15:56:00,5.95,17799.0,United Kingdom,11.9,2011-01-21
67310,541830,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,4,2011-01-21 17:09:00,8.29,,United Kingdom,33.16,2011-01-21
67840,541847,82583,HOT BATHS METAL SIGN,2,2011-01-23 13:25:00,2.1,15443.0,United Kingdom,4.2,2011-01-23
68370,541864,84378,SET OF 3 HEART COOKIE CUTTERS,144,2011-01-23 16:17:00,1.06,13798.0,United Kingdom,152.64000000000001,2011-01-23
68900,541879,22456,NATURAL SLATE CHALKBOARD LARGE ,1,2011-01-24 10:31:00,9.96,,United Kingdom,9.96,2011-01-24
69430,541971,22961,JAM MAKING SET PRINTED,1,2011-01-24 13:48:00,3.29,,United Kingdom,3.29,2011-01-24
69960,541993,22090,PAPER BUNTING RETROSPOT,2,2011-01-25 09:37:00,6.63,,United Kingdom,13.26,2011-01-25
70490,542080,22741,FUNKY DIVA PEN,48,2011-01-25 12:16:00,0.85,13815.0,Germany,40.8,2011-01-25
71020,542107,84050,PINK HEART SHAPE EGG FRYING PAN,2,2011-01-25 13:38:00,1.65,16222.0,United Kingdom,3.3,2011-01-25
71550,542147,35241,ENAMEL BLUE RIM BISCUIT BIN,6,2011-01-26 10:02:00,4.95,12782.0,Portugal,29.700000000000003,2011-01-26
72080,542229,22029,SPACEBOY BIRTHDAY CARD,12,2011-01-26 13:38:00,0.42,12474.0,Germany,5.04,2011-01-26
72610,542255,22492,MINI PAINT SET VINTAGE ,1,2011-01-26 16:43:00,1.63,,United Kingdom,1.63,2011-01-26
73140,542303,22629,SPACEBOY LUNCH BOX ,12,2011-01-27 11:05:00,1.95,12539.0,Spain,23.4,2011-01-27
73670,542373,23230,WRAP ALPHABET DESIGN,25,2011-01-27 13:38:00,0.42,16767.0,United Kingdom,10.5,2011-01-27
74200,542408,21829,DINOSAUR KEYRINGS ASSORTED,36,2011-01-27 16:29:00,0.21,13280.0,United Kingdom,7.56,2011-01-27
74730,542521,22327,ROUND SNACK BOXES SET OF 4 SKULLS,2,2011-01-28 12:28:00,2.95,17965.0,United Kingdom,5.9,2011-01-28
75260,542577,85232B,,-1,2011-01-28 14:56:00,0.0,,United Kingdom,-0.0,2011-01-28
75790,542610,22384,LUNCH BAG PINK POLKADOT,10,2011-01-30 14:05:00,1.65,13148.0,United Kingdom,16.5,2011-01-30
76320,542623,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2011-01-31 09:41:00,2.95,17239.0,United Kingdom,17.700000000000003,2011-01-31
76850,542664,21563,RED HEART SHAPE LOVE BUCKET ,1,2011-01-31 12:14:00,5.79,,United Kingdom,5.79,2011-01-31
77380,542722,22360,GLASS JAR ENGLISH CONFECTIONERY,24,2011-01-31 14:38:00,2.55,13089.0,United Kingdom,61.199999999999996,2011-01-31
77910,542791,21755,LOVE BUILDING BLOCK WORD,2,2011-02-01 10:47:00,5.95,15039.0,United Kingdom,11.9,2011-02-01
78440,542881,22639,SET OF 4 NAPKIN CHARMS HEARTS,2,2011-02-01 12:54:00,2.55,14587.0,United Kingdom,5.1,2011-02-01
78970,542906,21084,SET/6 COLLAGE PAPER CUPS,1,2011-02-01 15:12:00,1.63,,United Kingdom,1.63,2011-02-01
79500,542994,85066,CREAM SWEETHEART MINI CHEST,2,2011-02-02 12:03:00,12.75,17230.0,United Kingdom,25.5,2011-02-02
80030,543013,90197B,BLACK GLASS BRACELET W HEART CHARMS,1,2011-02-02 13:35:00,4.98,,United Kingdom,4.98,2011-02-02
80560,543040,21874,GIN AND TONIC MUG,1,2011-02-02 17:06:00,1.25,17337.0,United Kingdom,1.25,2011-02-02
81090,543111,85099F,JUMBO BAG STRAWBERRY,6,2011-02-03 12:44:00,1.95,15719.0,United Kingdom,11.7,2011-02-03
81620,543166,22120,WELCOME  WOODEN BLOCK LETTERS,3,2011-02-04 08:27:00,9.95,13488.0,United Kingdom,29.849999999999998,2011-02-04
82150,543190,20983,12 PENCILS TALL TUBE RED RETROSPOT,120,2011-02-04 11:52:00,0.85,17226.0,United Kingdom,102.0,2011-02-04
82680,543246,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-02-04 14:14:00,2.95,17315.0,United Kingdom,2.95,2011-02-04
83210,543292,22334,DINOSAUR PARTY BAG + STICKER SET,5,2011-02-07 11:15:00,1.65,14534.0,United Kingdom,8.25,2011-02-07
83740,C543347,85049G,CHOCOLATE BOX RIBBONS ,-2,2011-02-07 12:44:00,1.25,12472.0,Germany,-2.5,2011-02-07
84270,543372,22087,PAPER BUNTING WHITE LACE,18,2011-02-07 15:01:00,2.95,16321.0,Australia,53.1,2011-02-07
84800,543448,21452,TOADSTOOL MONEY BOX,1,2011-02-08 12:12:00,4.96,,United Kingdom,4.96,2011-02-08
85330,543467,22767,TRIPLE PHOTO FRAME CORNICE ,1,2011-02-08 14:35:00,19.96,,United Kingdom,19.96,2011-02-08
85860,543530,22182,CAKE STAND VICTORIAN FILIGREE SMALL,1,2011-02-09 12:46:00,4.13,,United Kingdom,4.13,2011-02-09
86390,543546,22281,EASTER TREE YELLOW BIRDS,1,2011-02-09 16:52:00,12.46,,United Kingdom,12.46,2011-02-09
86920,543619,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,12,2011-02-10 14:51:00,1.45,16842.0,United Kingdom,17.4,2011-02-10
87450,543660,21935,SUKI  SHOULDER BAG,2,2011-02-11 10:40:00,3.29,,United Kingdom,6.58,2011-02-11
87980,543740,21931,JUMBO STORAGE BAG SUKI,1,2011-02-11 13:36:00,1.95,15311.0,United Kingdom,1.95,2011-02-11
88510,543805,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,2,2011-02-13 12:41:00,1.25,17050.0,United Kingdom,2.5,2011-02-13
89040,543826,21068,VINTAGE BILLBOARD LOVE/HATE MUG,2,2011-02-14 09:41:00,2.46,,United Kingdom,4.92,2011-02-14
89570,543911,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2011-02-14 12:46:00,4.95,17829.0,United Arab Emirates,29.700000000000003,2011-02-14
90100,543985,21803,CHRISTMAS TREE STAR DECORATION,2,2011-02-15 09:44:00,0.42,,United Kingdom,0.84,2011-02-15
90630,544058,22380,TOY TIDY SPACEBOY  ,5,2011-02-15 12:56:00,2.1,14176.0,United Kingdom,10.5,2011-02-15
91160,544089,22219,LOVEBIRD HANGING DECORATION WHITE ,3,2011-02-15 17:51:00,1.63,,United Kingdom,4.89,2011-02-15
91690,544115,22029,SPACEBOY BIRTHDAY CARD,12,2011-02-16 11:45:00,0.42,12727.0,France,5.04,2011-02-16
92220,544182,22912,YELLOW COAT RACK PARIS FASHION,3,2011-02-16 15:13:00,4.95,18257.0,United Kingdom,14.850000000000001,2011-02-16
92750,544204,85049e,SCANDINAVIAN REDS RIBBONS,2,2011-02-17 10:30:00,3.29,,United Kingdom,6.58,2011-02-17
93280,544286,22767,TRIPLE PHOTO FRAME CORNICE ,2,2011-02-17 12:29:00,9.95,13151.0,United Kingdom,19.9,2011-02-17
93810,544313,21870,I CAN ONLY PLEASE ONE PERSON MUG,6,2011-02-17 14:36:00,1.25,14099.0,United Kingdom,7.5,2011-02-17
94340,544352,22021,BLUE FELT EASTER EGG BASKET,12,2011-02-18 10:16:00,1.65,15290.0,United Kingdom,19.799999999999997,2011-02-18
94870,544434,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2011-02-18 16:12:00,2.92,,United Kingdom,2.92,2011-02-18
95400,544455,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-02-20 13:18:00,4.95,13097.0,United Kingdom,9.9,2011-02-20
95930,544468,21704,BAG 250g SWIRLY MARBLES,12,2011-02-21 08:33:00,0.85,,EIRE,10.2,2011-02-21
96460,544568,22963,JAM JAR WITH GREEN LID,12,2011-02-21 12:54:00,0.85,15065.0,United Kingdom,10.2,2011-02-21
96990,544598,20707,CRAZY DAISY HEART DECORATION,3,2011-02-21 18:10:00,0.83,,United Kingdom,2.4899999999999998,2011-02-21
97520,544642,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2011-02-22 11:41:00,1.25,17811.0,United Kingdom,10.0,2011-02-22
98050,544666,22784,LANTERN CREAM GAZEBO ,1,2011-02-22 15:00:00,4.95,16907.0,United Kingdom,4.95,2011-02-22
98580,544681,22120,WELCOME  WOODEN BLOCK LETTERS,1,2011-02-22 16:28:00,19.96,,United Kingdom,19.96,2011-02-22
99110,544698,22197,SMALL POPCORN HOLDER,360,2011-02-23 09:53:00,0.72,17949.0,United Kingdom,259.2,2011-02-23
99640,544776,20719,WOODLAND CHARLOTTE BAG,40,2011-02-23 11:39:00,2.46,,United Kingdom,98.4,2011-02-23
100170,544807,48138,DOORMAT UNION FLAG,30,2011-02-23 15:03:00,7.65,12823.0,United Kingdom,229.5,2011-02-23
100700,544826,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,2011-02-24 09:36:00,3.25,14513.0,United Kingdom,3.25,2011-02-24
101230,544908,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2011-02-24 14:27:00,2.55,18056.0,United Kingdom,20.4,2011-02-24
101760,544931,15060B,FAIRY CAKE DESIGN UMBRELLA,4,2011-02-24 18:59:00,3.75,13501.0,Switzerland,15.0,2011-02-24
102290,545004,22691,DOORMAT WELCOME SUNRISE,10,2011-02-25 12:48:00,6.75,13753.0,United Kingdom,67.5,2011-02-25
102820,545038,21904,HOUSE WRECKING METAL SIGN ,1,2011-02-27 10:13:00,2.1,13684.0,United Kingdom,2.1,2011-02-27
103350,545060,84360,TABLE LAMP WHITE SHADE WOOD BASE,1,2011-02-27 13:47:00,5.95,15547.0,United Kingdom,5.95,2011-02-27
103880,545081,22841,ROUND CAKE TIN VINTAGE GREEN,2,2011-02-28 10:35:00,7.95,16057.0,United Kingdom,15.9,2011-02-28
